"id","x [nm]","y [nm]","sigma [nm]","intensity [photon]","uncertainty_xy [nm]"
689,32853.65374,26874.73593,142.0828,1167.74434,11.14861
690,32795.56814,29113.4019,318.99475,8278.68713,7.80837
691,32977.29808,22265.16359,100.7858,632.45921,10.74202
692,33300.52896,20893.97857,195.2546,1713.38025,15.29327
693,33120.12115,20016.07212,109.38606,382.74545,22.45788
694,33098.69856,16369.08366,103.90653,1288.24639,19.78488
695,33241.04986,16977.02068,128.36324,756.3783,20.35369
696,33293.26347,17987.8106,145.00995,963.02984,15.01653
697,33276.36657,24821.16423,561.8355,37136.91054,6.3672
698,33383.13818,20928.50035,145.81957,857.92387,21.94849
699,33415.45926,27625.48818,175.45356,1332.63718,19.03213
700,33319.06576,28325.3339,302.91392,6348.4882,11.32486
701,33423.36467,30662.40479,107.16029,1014.35843,16.12228
702,33333.18295,30267.39634,134.38217,573.14693,17.5438
703,33314.14576,16972.77253,132.96584,2719.95482,16.28119
704,33413.50379,20943.88884,192.59848,1419.71106,22.03876
705,33594.68034,23955.54141,210.2739,1657.00215,14.37724
706,33574.39175,26141.51372,160.73382,1521.41268,12.65615
707,33538.64729,20123.15161,130.16012,505.81863,21.51039
708,33625.69411,25023.40584,61.91991,347.57607,9.11483
709,33715.44844,27968.24675,185.81019,2102.19132,14.3106
710,33610.57318,29252.65482,112.31088,882.79382,8.31346
711,33586.65094,17171.68796,117.17023,1937.6149,18.87312
712,33746.9725,21779.17137,147.42978,887.49139,13.27388
713,33778.34187,27740.03647,144.37631,1551.18776,12.52879
714,33802.39592,19044.23389,181.28347,2530.09318,9.62287
715,33848.95674,17616.13015,447.41838,25117.69155,5.07951
716,33969.76515,25391.63992,210.24964,3449.13515,10.40516
717,34094.12958,24562.62698,264.65993,5720.98637,9.16653
718,34310.54138,21007.13809,161.3704,920.67718,16.59167
719,34249.35792,22438.04924,173.56256,2203.33558,9.92799
720,34116.60351,25301.354,106.45539,596.41321,18.71322
721,34097.30269,30568.08276,115.44346,1166.11831,17.89848
722,34277.86133,17274.15211,122.09356,2104.89588,18.45805
723,34358.38286,19975.81231,88.17021,311.85367,15.26965
724,34379.73098,27559.58798,284.83228,4486.92883,13.37104
725,34321.39827,28364.88984,166.18165,956.55678,17.73755
726,34436.51015,18770.10137,110.94977,797.37891,10.4231
727,34428.33822,25856.1924,110.77143,1119.1308,7.53437
728,34602.10753,23345.1011,380.00468,13013.96851,7.62625
729,34514.43608,26277.59674,154.38029,1063.45794,11.23535
730,34572.85209,27044.91342,219.46715,2343.35682,13.52385
731,34507.2241,28984.37584,103.78949,434.28514,10.67189
732,34640.00008,21562.17207,156.06766,1492.53063,14.20665
733,34600.81328,21809.74968,156.18348,1240.69085,15.51631
734,34636.27139,27781.5459,87.2528,424.48791,16.32158
735,34752.45332,21028.91293,152.87659,1166.1253,15.19066
736,34686.48316,17305.3352,129.96901,2108.46924,16.13734
737,34798.81641,24498.74683,265.73359,4471.96741,11.78252
738,34928.00146,19499.87282,211.76662,2134.43346,12.5516
739,34842.99677,19414.20733,116.28865,2354.16596,18.10974
740,34791.81824,30286.35401,110.40811,993.04604,18.68259
741,35005.90341,18113.63029,156.56361,4462.83319,14.56401
742,35100.64562,22768.12321,343.92093,8043.50108,9.76388
743,34969.65604,25484.54036,198.66602,1533.06248,13.28114
744,35144.73768,24656.02371,100.48218,549.55544,19.42516
745,35177.70134,26152.19329,148.96505,976.37264,16.35978
746,35111.31891,28833.10422,170.87056,1989.58635,11.29922
747,35152.94629,21200.43423,266.91266,6649.89395,8.77079
748,35121.7769,27620.40654,523.93081,38144.59396,5.41094
749,35218.34877,20736.00724,106.02898,1282.24986,7.37502
750,35234.94931,23132.77562,141.52881,930.69212,16.6841
751,35337.77137,20010.24024,106.97523,611.65203,15.81375
752,35337.79068,17494.90912,127.77055,2088.30195,14.87896
753,35447.05001,25791.51365,139.76997,700.15879,19.094
754,35239.2268,27743.30295,428.77801,25625.3014,6.0876
755,35441.67912,18231.53249,123.16528,2517.84479,14.94157
756,35506.63942,24131.03405,160.72934,2907.42018,7.95485
757,35480.99798,24890.33589,146.05944,572.51167,29.81393
758,35683.58159,19393.47952,113.68706,1703.96425,16.83697
759,35423.26625,20267.74512,324.55762,8381.45853,11.19193
760,35708.93868,21692.29914,237.07869,3332.28947,12.5347
761,35705.43352,23226.28457,169.0223,1608.70801,15.75872
762,35479.49502,25102.70703,193.39296,1887.386,17.4862
763,35558.00995,17594.46892,111.03442,1182.39507,16.29649
764,35772.84105,24565.79757,132.16109,685.71886,18.40701
765,35858.07705,21030.35815,178.25008,2432.3216,9.7885
766,35886.21799,27659.00517,134.48189,572.87163,20.126
767,35878.39967,28707.87921,251.74413,4211.25787,8.31621
768,35948.23814,19736.04329,257.51113,5603.9446,8.89634
769,35855.20889,21807.79457,195.64081,1626.94638,17.863
770,35867.78996,28544.95869,218.88132,1913.25607,13.96276
